,__pad_num,_c0,juncType,pipeline_purpose_id,simple_part_id,part_L,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,node_name_end,altitude_end,node_type_end,D,S,thread_number,part_inuse_date,mestor_name,uphillM,startIsSource,startKind,defaultStartValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,adkuGzuPcollector,VolumeWater,startValue,X_start,X_end,Y_start,Y_end
52,,4,pipe,HC0002,1750027905,92,1750024595,1750000894,1750000894,1750006836,1750022132,1750025496,92,1431064120000,уз.№15(р-он УДР-2),78.3,3,уз.УДР-2,78.5,3,219,10,1,1285272000000,Тайлаковское,0.200000000000003,False,,,False,,,,,,,0.85,0.199,1E-05,,,,461532.215840075,461596.24436416,6568625.0874924,6568631.53798878
53,,4,pipe,HC0002,1750027905,92,1750024595,1750000894,1750000894,1750006836,1750022132,1750025496,92,1431064120000,уз.№15(р-он УДР-2),78.3,3,уз.УДР-2,78.5,3,219,10,1,1285272000000,Тайлаковское,0.200000000000003,False,,,False,,,,,,,0.85,0.199,1E-05,,,,461532.215840075,461596.24436416,6568625.0874924,6568631.53798878
54,,6,pipe,HC0002,1750027953,4601,1750024637,1750000894,1750000894,1750006836,1750034283,1750022333,4601,1431084527000,т.вр.к59,60.1,3,"т.вр.к.59,46",64.5,3,159,8,1,1388520000000,Тайлаковское,4.4,False,,,False,,,,,,,0.85,0.143,1E-05,,,,440742.41,444122.43077267,6574726.39,6576487.98540724
55,,7,pipe,HC0002,1750020049,3400,1750017784,1750000894,1750000894,1750006836,1750022338,1750022333,3400,1275394980000,т.вр.к59,60.1,3,т.вр.к61,62.5,3,159,10,1,1277323200000,Тайлаковское,2.4,False,,,False,,,,,,,0.85,0.139,1E-05,,,,440742.41,441693.66,6574726.39,6571623.67
56,,7,pipe,HC0002,1750020049,3400,1750017784,1750000894,1750000894,1750006836,1750022338,1750022333,3400,1275394980000,т.вр.к59,60.1,3,т.вр.к61,62.5,3,159,10,1,1277323200000,Тайлаковское,2.4,False,,,False,,,,,,,0.85,0.139,1E-05,,,,440742.41,441693.66,6574726.39,6571623.67
57,,8,pipe,HC0002,1750035232,1698,1750017419,1750000894,1750000894,1750006836,1750022134,1750043786,1698,1484311277000,т.вр.к.93,85.2,3,т.вр.к42,85,3,159,10,1,1270929600000,Тайлаковское,-0.200000000000003,False,,,False,,,,,,,0.85,0.139,1E-05,,,,459070.35,459337.961094803,6574695.97,6573011.80602655
58,,12,pipe,HC0002,1750027955,2555,1750017789,1750000894,1750000894,1750006836,1750022345,1750022343,2555,1431086789000,т.вр.к56,61.2,3,т.вр.к75,61.8,3,273,8,1,1277323200000,Тайлаковское,0.599999999999994,False,,,False,,,,,,,0.85,0.257,1E-05,,,,444026.31,446115.940184712,6568518.94,6567157.31646399
59,,13,pipe,HC0002,1750019652,1031,1750017407,1750000894,1750000894,1750007301,1750022119,1750022121,1031,1273237366000,вр. к.19,84.8,3,"уз. к10, к19",82.6,3,159,10,1,1297544400000,Тайлаковское,-2.2,False,,,False,,,,,,,0.85,0.139,1E-05,,,,463689.664015082,463208.029404635,6571985.00082334,6571077.98244772
60,,14,pipe,HC0002,1750035348,2920,1750030140,1750000894,1750000894,1750006836,1750022334,1750022140,2920,1484741524000,уз.к33,82.3,3,т.вр.н/с к.46,84.2,3,426,8,1,1474146000000,Тайлаковское,1.90000000000001,False,,,False,,,,,,,0.85,0.41,1E-05,,,,457635.949948943,460494.029020232,6568730.69735748,6568620.16411921
61,,15,pipe,HC0002,1750020050,1759,1750017785,1750000894,1750000894,1750006836,1750022339,1750022338,1759,1275395032000,т.вр.к61,62.5,3,т.вр.к51,63,3,219,8,1,1277323200000,Тайлаковское,0.5,False,,,False,,,,,,,0.85,0.203,1E-05,,,,441693.66,442926.921122992,6571623.67,6571137.21405715
62,,16,pipe,HC0002,1750027947,2139,1750017778,1750000894,1750000894,1750006836,1750022334,1750022136,2139,1431077310000,т.вр.н/с к.60,82.3,3,т.вр.н/с к.46,84.2,3,219,8,1,1270929600000,Тайлаковское,1.90000000000001,False,,,False,,,,,,,0.85,0.203,1E-05,,,,460227.413741558,460494.029020232,6570674.48844092,6568620.16411921
63,,17,pipe,HC0002,1750023013,200,1750020528,1750000894,1750000894,1750007301,1750022078,1750022122,200,1320727628000,уз.УДР-1,81.9,3,ДНС -2 Тайлаковского,82.1,7,325,10,1,1215720000000,Тайлаковское,0.199999999999989,False,,,True,P,4.8,,,,,0.85,0.305,1E-05,,,,461826.964509523,461959.614945389,6569467.69987485,6569316.65654873
64,,18,pipe,HC0002,1750027949,1830,1750017860,1750000894,1750000894,1750006954,1750022130,1750022129,1830,1431079845000,т.вр.к32,83.2,3,т.вр.к33,83.1,3,219,10,1,1242590400000,Тайлаковское,-0.100000000000009,False,,,False,,,,,,,0.85,0.199,1E-05,,,,455915.316447218,457334.100379216,6570162.72972654,6569009.69009548
65,,19,pipe,HC0002,1750035231,2714,1750030021,1750000894,1750000894,1750007301,1750022118,1750022399,2714,1484309077000,уз.к8,80.3,3,уз.к.8,81.1,3,159,8,1,1464123600000,Тайлаковское,0.799999999999997,False,,,False,,,,,,,0.85,0.143,1E-05,,,,466100.35,463990.942480835,6569809.91,6570421.96335873
66,,21,pipe,HC0002,1750019655,785,1750017410,1750000894,1750000894,1750006835,1750022126,1750022124,785,1273238332000,уз.к5,64.3,3,"т.вр. к9, к36",63.7,3,219,10,1,1225314000000,Тайлаковское,-0.599999999999994,False,,,False,,,,,,,0.85,0.199,1E-05,,,,460565.05,460485.17,6564261.48,6564800.79
