,__pad_num,_c0,juncType,pipeline_purpose_id,simple_part_id,part_L,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,node_name_end,altitude_end,node_type_end,D,S,thread_number,part_inuse_date,pipe_material,mestor_name,uphillM,startIsSource,startKind,defaultStartValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,sourceByCount,outletByCount,adkuGzuPcollector,VolumeWater,startValue,X_start,X_end,Y_start,Y_end
45,,40,pipe,HC0002,1750019189,926,1750016964,1750000610,1750000610,1750006714,1751052719,1750021798,926,1269873751000,уз.к2,84.5,3,ЗКЛ№67.1,83.6,3,219,10,1,1148932800000,сталь 20,Тайлаковское,-0.900000000000006,False,,,False,,,,,,,0.85,0.199,1E-05,False,False,,,,437731.56,438243.5,6547006.88,6546300.16
46,,41,pipe,HC0002,1751042837,10,1751035727,1750000610,1750000610,1750005566,1751051665,1750025406,10,1544015278000,уз.вр. к37,62.4,3,т.уз.к.37,62,3,168,8,1,,сталь 20,Тайлаковское,-0.399999999999999,False,,,False,,,,,,,0.85,0.152,1E-05,False,False,,,,442465.673266271,442475.871606453,6562885.37534654,6562897.75580928
47,,42,pipe,HC0002,1750019198,50,1750016973,1750000610,1750000610,1750006714,1750021882,1750021810,50,1269875651000,уз.р-н к1,81.9,3,вр.к.25,82.6,3,219,10,1,1182369600000,сталь 20С,Тайлаковское,0.699999999999989,False,,,False,,,,,,,0.85,0.199,1E-05,False,False,,,,440861.493856029,440911.85985074,6546624.30787465,6546622.87575147
48,,43,pipe,HC0002,1750035352,2524,1750030143,1750000610,1750000610,1750006714,1750021819,1750034342,2524,1484742888000,вр.к.95,92.3,3,т.вр.к12,88.2,3,219,8,1,1474146000000,сталь 13ХФА,Тайлаковское,-4.09999999999999,False,,,False,,,,,,,0.85,0.203,1E-05,False,False,,,,438222.086238247,440509.632457669,6549287.03055901,6548307.61368351
49,,44,pipe,HC0002,1750038494,4055,1750032342,1750000610,1750000610,1750005566,1751051663,1750046999,4055,1508334986000,уз.вр.к.70,61,3,т.вр.к.37,62,3,273,8,1,1507582800000,сталь 13ХФА,Тайлаковское,1,False,,,False,,,,,,,0.85,0.257,1E-05,False,False,,,,440139.342226892,442472.971758301,6566201.95344195,6562888.11478336
50,,45,pipe,HC0002,1751046442,6895,1750028400,1750000610,1750000610,1750005566,1751051665,1751062707,6895,1584966821000,ЗКЛ 328.1,59.9,3,т.уз.к.37,62,3,219,8,1,1433106000000,сталь 09Г2С,Тайлаковское,2.1,False,,,False,,,,,,,0.85,0.203,1E-05,False,False,,,,439048.63,442475.871606453,6568298.45,6562897.75580928
51,,46,pipe,HC0002,1751045673,2134,1750017057,1750000610,1750000610,1750005566,1750021891,1751061682,2134,1578565609000,"т.вр.к.27,101",73.2,3,уз.вр. к24,85.1,3,159,10,1,1262206800000,сталь 20,Тайлаковское,11.9,False,,,False,,,,,,,0.85,0.139,1E-05,False,False,,,,445530.39,444181.45,6551943.67,6552671.2
52,,47,pipe,HC0002,1750025379,1201,1750022533,1750000610,1750000610,1750006714,1750010908,1750021812,1201,1392107668000,Узел 2,82.6,3,ДНС-1 Тайлаковского,85.7,7,325,10,1,1146945600000,сталь 20С,Тайлаковское,3.10000000000001,False,,,True,P,4.8,,,,,0.85,0.305,1E-05,False,True,,,,440555.461430073,441554.290674888,6546655.19240579,6546720.19789019
53,,49,pipe,HC0002,1750028017,548,1750016964,1750000610,1750000610,1750006714,1750021812,1750034343,548,1431520080000,вр.р-он к.1,85.5,3,Узел 2,82.6,3,219,10,1,1148932800000,сталь 20,Тайлаковское,-2.90000000000001,False,,,False,,,,,,,0.85,0.199,1E-05,False,False,,,,440087.95,440555.461430073,6546492.55,6546655.19240579
54,,50,pipe,HC0002,1750016543,3300,1750014535,1750000610,1750000610,1750005566,1751060239,1750021861,3300,1215670098000,т.вр к17,70.2,3,"уз.к.16,17,18",76.1,3,159,8,1,1209931200000,сталь 20,Тайлаковское,5.89999999999999,False,,,False,,,,,,,0.85,0.143,1E-05,False,False,,,,445730.437978446,443325.912613359,6555070.56980781,6553997.51363582
