,pumpModel,debit,pressure,eff,power,max,NominalQ
23674,ЭЦН5А-800-2300,416,2759.46235760414,48.6550755206555,264516.3181386,1101,800
23675,ЭЦН5А-800-2300,955,1364.76772672399,45.1896004631299,326380.160868577,1101,800
23676,ЭЦН5А-800-2300,29,3359.96801744391,4.404845308837,197294.974087796,1101,800
23677,ЭЦН5А-800-2300,37,3344.31987178581,5.61997504920583,198619.245309508,1101,800
23678,ЭЦН5А-800-2300,191,3048.48030252546,27.9843370358518,224604.330761439,1101,800
23679,ЭЦН5А-800-2300,202,3029.41580444377,29.3500824472759,226494.311857366,1101,800
23680,ЭЦН5А-800-2300,204,3026.06651498737,29.5888951751859,226836.655731995,1101,800
23681,ЭЦН5А-800-2300,355,2825.41739704602,43.6518218063883,253202.07758807,1101,800
23682,ЭЦН5А-800-2300,399,2774.98862052452,47.3285389951955,261234.234612329,1101,800
23683,ЭЦН5А-800-2300,638,2730.96048606613,62.3571244991269,317136.07167379,1101,800
23684,ЭЦН5А-800-2300,713,2606.56673952149,64.0308321899648,329257.440929445,1101,800
23685,ЭЦН5А-800-2300,1074,318.226489717023,11.7382149160062,300519.999075977,1101,800
23686,ЭЦН5А-800-2300,611,2733.10560832605,60.7843140911183,310674.072963202,1101,800
23687,ЭЦН5А-800-2300,865,1916.61498503382,55.6003779822861,337792.944089171,1101,800
23688,ЭЦН5А-800-2300,951,1390.54151804494,45.748827348183,327002.351547342,1101,800
23689,ЭЦН5А-800-2300,971,1232.62172880158,41.2121882873177,323085.958274736,1101,800
23690,ЭЦН5А-800-2300,10,3397.13236338192,1.51891217546103,194149.829936231,1101,800
23691,ЭЦН5А-800-2300,542,2733.82685209926,56.6631475673121,293871.332067043,1101,800
23692,ЭЦН5А-800-2300,665,2692.63999730333,63.1143029633578,321761.86375161,1101,800
23693,ЭЦН5А-800-2300,750,2487.55989563091,63.3360068060681,333733.06707909,1101,800
23694,ЭЦН5А-800-2300,82,3256.29905245897,12.4550798387805,206068.270931636,1101,800
23695,ЭЦН5А-800-2300,86,3248.47497962992,13.0626447089649,206730.406542492,1101,800
23696,ЭЦН5А-800-2300,226,2990.52647047436,32.1318832276085,230572.922889552,1101,800
23697,ЭЦН5А-800-2300,348,2834.01348393242,43.047976124303,251956.269913007,1101,800
23698,ЭЦН5А-800-2300,465,2734.65532165328,52.0641646349486,275122.772061841,1101,800
23699,ЭЦН5А-800-2300,470,2734.5794542974,52.362799890297,276338.037218876,1101,800
23700,ЭЦН5А-800-2300,599,2733.23104202574,60.0675894782824,307751.857155174,1101,800
23701,ЭЦН5А-800-2300,640,2729.75934119286,62.4516556363886,317565.962194107,1101,800
23702,ЭЦН5А-800-2300,682,2664.22424605808,63.5047863159294,324413.264721056,1101,800
23703,ЭЦН5А-800-2300,894,1741.80572417904,52.4221359072961,334698.06162497,1101,800
23704,ЭЦН5А-800-2300,19,3379.52819951655,2.88593313337597,195639.635060656,1101,800
23705,ЭЦН5А-800-2300,223,2995.15937601265,31.7953360116266,230065.3681727,1101,800
23706,ЭЦН5А-800-2300,230,2984.49822952533,32.5602797068191,231242.657453136,1101,800
23707,ЭЦН5А-800-2300,707,2618.7359057253,63.9609491500905,328315.084977153,1101,800
23708,ЭЦН5А-800-2300,1063,416.324479323373,14.9214299634505,302956.298522762,1101,800
23709,ЭЦН5А-800-2300,464,2734.69949348207,52.0024556340238,274882.575167806,1101,800
23710,ЭЦН5А-800-2300,483,2734.4435677894,53.1392515542025,279503.771010906,1101,800
23711,ЭЦН5А-800-2300,654,2710.34327182898,62.8483656880705,320008.180538102,1101,800
